imagen,nombre,precio_dolares,precio_soles,link,stock
https://www.sercoplus.com/17979-home_default/mouse-storm-sentinel-iii.jpg,MOUSE STORM SENTINEL III,52.0,201.76,https://www.sercoplus.com/mouse-gaming/5464-mouse-storm-sentinel-iii.html,1
https://www.sercoplus.com/22612-home_default/mouse-pad-gaming-hyperx-fury-ultra-led.jpg,"MOUSE PAD GAMING HYPERX FURY ULTRA, LED RGB, 359.4 x 299.4mm",54.0,209.52,https://www.sercoplus.com/pad-mouse/12181-mouse-pad-gaming-hyperx-fury-ultra-led.html,8
https://www.sercoplus.com/23998-home_default/teclado-logitech-k600-smart-tv-bluetooh.jpg,TECLADO LOGITECH K600 SMART TV BLUETOOH,54.0,209.52,https://www.sercoplus.com/kit-teclado-y-mouse-wireles/12411-teclado-logitech-k600-smart-tv-bluetooh.html,7
https://www.sercoplus.com/28109-home_default/mouse-gaming-evga-x17-rgb-usb.jpg,"MOUSE GAMING EVGA X17, RGB, USB",54.0,209.52,https://www.sercoplus.com/mouse-gaming/13197-mouse-gaming-evga-x17-rgb-usb.html,4
https://www.sercoplus.com/29213-home_default/mouse-gaming-evga-x17-rgb-usb.jpg,"MOUSE GAMING EVGA X17, RGB, USB",56.0,217.28,https://www.sercoplus.com/mouse-gaming/13512-mouse-gaming-evga-x17-rgb-usb.html,2
https://www.sercoplus.com/29225-home_default/mouse-gaming-evga-x15-rgb-usb.jpg,"MOUSE GAMING EVGA X15, RGB, USB",58.0,225.04,https://www.sercoplus.com/mouse-gaming/13515-mouse-gaming-evga-x15-rgb-usb.html,2
https://www.sercoplus.com/16471-home_default/mouse-gaming-primus-gladius-16000p-rgb.jpg,MOUSE GAMING PRIMUS GLADIUS 16000P RGB,60.0,232.8,https://www.sercoplus.com/mouse-gaming/11225-mouse-gaming-primus-gladius-16000p-rgb.html,1
https://www.sercoplus.com/24847-home_default/mouse-logitech-anywhere-3-bluetooth-rose.jpg,MOUSE LOGITECH ANYWHERE 3 BLUETOOTH ROSE,60.0,232.8,https://www.sercoplus.com/mouse-bluetooth/12585-mouse-logitech-anywhere-3-bluetooth-rose.html,1
https://www.sercoplus.com/20601-home_default/mouse-inalambrico-logitech-g604-ligthspe.jpg,MOUSE GAMING LOGITECH G604 LIGHTSPEED WIRELESS BLACK,61.6,239.01,https://www.sercoplus.com/teclados-y-mouse/11096-mouse-inalambrico-logitech-g604-ligthspe.html,3
https://www.sercoplus.com/20609-home_default/mouse-gaming-logitech-g703-ligthspeed-wi.jpg,MOUSE GAMING LOGITECH G703 LIGHTSPEED WIRELESS BLACK,61.9,240.17,https://www.sercoplus.com/teclados-y-mouse/11620-mouse-gaming-logitech-g703-ligthspeed-wi.html,4
